id;nom_journaliste;prenom_journaliste;nom_societe;email_journalite;date_interview;etat_demande
1;deposit incubate;Cheese Saint-Jacques;b;a;2022-06-27;false
2;policy Savings calculate;overriding;interface panel;Chair;2022-06-27;true
3;COM Fantastic;enterprise;capability Metal innovate;1080p;2022-06-27;false
4;matrix Developpeur Monténégro;Handcrafted;solution-oriented interface calculate;Cambridgeshire withdrawal;2022-06-27;true
5;productize HTTP;a deploy Gloves;withdrawal EXE;Kyat Belize;2022-06-27;false
6;array;a;a Assistant;Ergonomic;2022-06-26;true
7;actuating;Riel;fuchsia Midi-Pyrénées a;Beauty AGP;2022-06-26;false
8;a Specialiste;enterprise XSS withdrawal;Grocery Shoes Toys;generation;2022-06-27;false
9;interface Borders Borders;group Soft CSS;Metal Qatar;bypass paradigms auxiliary;2022-06-26;true
10;Languedoc-Roussillon;connecting strategic back;haptic;fuchsia reboot indexing;2022-06-27;false
