id;nom_pers;prenom_pers;email_pers;tel_pers;tel_1_pers;etat_inscription
1;sky AI;RAM;Ghana a;transmitting maroon ROI;emulation PCI Mouse;false
2;Cheese Cambodge Chair;open-source;Alsace;Malaisie Salad;a hack tan;true
3;Rubber;composite Open-architected Stagiaire;Car Plastic;Ingenieur;Car Soft Gorgeous;false
4;copy mission-critical Frozen;deposit JSON CSS;Investment;challenge Bretagne;scale;true
5;Agent incubate;Dinar;quantifying;a;Cotton mobile;false
6;c b;Toys;interface Bedfordshire c;Producteur Ruble Specialiste;b;true
7;payment;leverage;wireless Metal;Dollar Riyal;Tasty Licensed visionary;true
8;Buckinghamshire Executif Baby;b product;payment support;Pants Wooden a;Érythrée Dinar a;true
9;Specialiste scalable deposit;redundant;Bacon;Fresh reboot;calculating c;false
10;turquoise Borders Ergonomic;a customized;Refined;Concrete Poitou-Charentes;Account Investment;true
