id;nom_videur;prenom_videur;tel_1;tel_2
1;turn-key;sticky Stagiaire even-keeled;users Administrateur;Fish
2;Helena hour;revolutionary;open Salad architect;Fantastic Concrete
3;payment Handmade;Steel;Handcrafted;Baby Gloves
4;card;Guyane b networks;Account;Credit East Cambridgeshire
5;Mouse Car;PNG viral Rubber;Gorgeous;methodologies white
6;bandwidth c Soft;array microchip Personal;Fresh;Computer matrix
7;bus matrix Albanie;methodical Hong;la;systems Shoes Ergonomic
8;value-added interface c;black Berkshire;orange;Frozen b synergies
9;b;Lettonie withdrawal;revolutionize de Cotton;bypassing
10;convergence Boétie;b Administrateur bluetooth;Borders deposit;FTP
